PermissionName,ApplicationPermission,DelegatePermission,Description,ApiCount,ApplicationGuid,DelegateGuid,SourceFiles,View
CloudPC.Read.All,False,False,Read Cloud PCs,72,,,cloudpcprovisioningpolicy-get|cloudpcprovisioningpolicy-get|cloudpcgalleryimage-get|cloudpcgalleryim,https://graphpermissions.merill.net/permission/CloudPC.Read.All.html
CloudPC.ReadWrite.All,False,False,Read and write Cloud PCs,137,,,cloudpcprovisioningpolicy-get|cloudpcprovisioningpolicy-get|virtualendpoint-post-onpremisesconnectio,https://graphpermissions.merill.net/permission/CloudPC.ReadWrite.All.html
Community.Read.All,False,False,Read all Viva Engage communities,3,,,employeeexperience-list-communities|employeeexperience-list-communities|community-get|community-get|,https://graphpermissions.merill.net/permission/Community.Read.All.html
Community.ReadWrite.All,False,False,Read and write all Viva Engage communities,6,,,employeeexperience-list-communities|employeeexperience-list-communities|community-get|community-get|,https://graphpermissions.merill.net/permission/Community.ReadWrite.All.html
ConsentRequest.Read.All,False,False,Read consent requests,6,,,appconsentrequest-list-userconsentrequests|appconsentrequest-list-userconsentrequests|appconsentrequ,https://graphpermissions.merill.net/permission/ConsentRequest.Read.All.html
ConsentRequest.ReadWrite.All,False,False,Read and write consent requests,6,,,appconsentrequest-list-userconsentrequests|appconsentrequest-list-userconsentrequests|appconsentrequ,https://graphpermissions.merill.net/permission/ConsentRequest.ReadWrite.All.html
Contacts.Read,False,False,"Read user contacts ",61,,,contact-get|contact-get|contact-get|contact-get|contactfolder-list-childfolders|contactfolder-list-c,https://graphpermissions.merill.net/permission/Contacts.Read.html
Contacts.ReadWrite,False,False,"Have full access to user contacts ",146,,,contactfolder-delete|contactfolder-delete|contactfolder-delete|contactfolder-delete|contact-get|cont,https://graphpermissions.merill.net/permission/Contacts.ReadWrite.html
CrossTenantInformation.ReadBasic.All,False,False,Read cross-tenant basic information,2,,,tenantrelationship-findtenantinformationbydomainname|tenantrelationship-findtenantinformationbydomai,https://graphpermissions.merill.net/permission/CrossTenantInformation.ReadBasic.All.html
CrossTenantUserProfileSharing.Read.All,False,False,Read all shared cross-tenant user profiles and export their data,6,,,outboundshareduserprofile-list-tenants|outboundshareduserprofile-list-tenants|outboundshareduserprof,https://graphpermissions.merill.net/permission/CrossTenantUserProfileSharing.Read.All.html
CrossTenantUserProfileSharing.ReadWrite.All,False,False,Read all shared cross-tenant user profiles and export or delete their data,8,,,outboundshareduserprofile-list-tenants|outboundshareduserprofile-list-tenants|tenantreference-remove,https://graphpermissions.merill.net/permission/CrossTenantUserProfileSharing.ReadWrite.All.html
CustomAuthenticationExtension.Read.All,False,False,Read your organization's custom authentication extensions,3,,,identitycontainer-list-customauthenticationextensions|identitycontainer-list-customauthenticationext,https://graphpermissions.merill.net/permission/CustomAuthenticationExtension.Read.All.html
CustomAuthenticationExtension.ReadWrite.All,False,False,Read and write your organization's custom authentication extensions,6,,,identitycontainer-list-customauthenticationextensions|identitycontainer-list-customauthenticationext,https://graphpermissions.merill.net/permission/CustomAuthenticationExtension.ReadWrite.All.html
CustomAuthenticationExtension.Receive.Payload,False,False,Receive custom authentication extension HTTP requests,0,,,,https://graphpermissions.merill.net/permission/CustomAuthenticationExtension.Receive.Payload.html
CustomDetection.Read.All,False,False,Read custom detection rules,2,,,security-detectionrule-list|security-detectionrule-list|security-detectionrule-get|security-detectio,https://graphpermissions.merill.net/permission/CustomDetection.Read.All.html
CustomDetection.ReadWrite.All,False,False,Read and write custom detection rules,5,,,security-detectionrule-list|security-detectionrule-list|security-detectionrule-update|security-detec,https://graphpermissions.merill.net/permission/CustomDetection.ReadWrite.All.html
CustomSecAttributeAssignment.Read.All,False,False,Read custom security attribute assignments,0,,,,https://graphpermissions.merill.net/permission/CustomSecAttributeAssignment.Read.All.html
CustomSecAttributeAssignment.ReadWrite.All,False,False,Read and write custom security attribute assignments,0,,,,https://graphpermissions.merill.net/permission/CustomSecAttributeAssignment.ReadWrite.All.html
CustomSecAttributeAuditLogs.Read.All,False,False,Read custom security attribute audit logs,2,,,customsecurityattributeaudit-get|customsecurityattributeaudit-get|auditlogroot-list-customsecurityat,https://graphpermissions.merill.net/permission/CustomSecAttributeAuditLogs.Read.All.html
CustomSecAttributeDefinition.Read.All,False,False,Read custom security attribute definitions,6,,,directory-list-attributesets|directory-list-attributesets|allowedvalue-get|allowedvalue-get|attribut,https://graphpermissions.merill.net/permission/CustomSecAttributeDefinition.Read.All.html
CustomSecAttributeDefinition.ReadWrite.All,False,False,Read and write custom security attribute definitions,12,,,customsecurityattributedefinition-update|customsecurityattributedefinition-update|directory-post-cus,https://graphpermissions.merill.net/permission/CustomSecAttributeDefinition.ReadWrite.All.html
CustomSecAttributeProvisioning.Read.All,False,False,Read the provisioning configuration of all active custom security attributes,3,,,synchronization-synchronizationschema-get|synchronization-synchronizationschema-get|synchronization-,https://graphpermissions.merill.net/permission/CustomSecAttributeProvisioning.Read.All.html
CustomSecAttributeProvisioning.ReadWrite.All,False,False,Read and edit the provisioning configuration of all active custom security attributes,7,,,synchronization-synchronizationschema-delete|synchronization-synchronizationschema-delete|synchroniz,https://graphpermissions.merill.net/permission/CustomSecAttributeProvisioning.ReadWrite.All.html
CustomTags.Read.All,False,False,Read all custom tags data,0,,,,https://graphpermissions.merill.net/permission/CustomTags.Read.All.html
CustomTags.ReadWrite.All,False,False,Read and write custom tags data,0,,,,https://graphpermissions.merill.net/permission/CustomTags.ReadWrite.All.html
DelegatedAdminRelationship.Read.All,False,False,Read Delegated Admin relationships with customers,11,,,delegatedadminrelationship-list-operations|delegatedadminrelationship-list-operations|delegatedadmin,https://graphpermissions.merill.net/permission/DelegatedAdminRelationship.Read.All.html
DelegatedAdminRelationship.ReadWrite.All,False,False,Manage Delegated Admin relationships with customers,18,,,delegatedadminrelationship-list-operations|delegatedadminrelationship-list-operations|delegatedadmin,https://graphpermissions.merill.net/permission/DelegatedAdminRelationship.ReadWrite.All.html
