PermissionName,ApplicationPermission,DelegatePermission,Description,ApiCount,ApplicationGuid,DelegateGuid,SourceFiles,View
Policy.ReadWrite.Authorization,False,False,Read and write your organization's authorization policy,2,,,groupsetting-delete|groupsetting-delete|groupsetting-update|groupsetting-update|,https://graphpermissions.merill.net/permission/Policy.ReadWrite.Authorization.html
Policy.ReadWrite.ConditionalAccess,False,False,Read and write your organization's conditional access policies,10,,,conditionalaccesspolicy-delete|conditionalaccesspolicy-delete|conditionalaccesspolicy-update|conditi,https://graphpermissions.merill.net/permission/Policy.ReadWrite.ConditionalAccess.html
Policy.ReadWrite.ConsentRequest,False,False,Read and write consent request policy,0,,,,https://graphpermissions.merill.net/permission/Policy.ReadWrite.ConsentRequest.html
Policy.ReadWrite.CrossTenantAccess,False,False,Read and write your organization's cross tenant access policies,0,,,,https://graphpermissions.merill.net/permission/Policy.ReadWrite.CrossTenantAccess.html
Policy.ReadWrite.ExternalIdentities,False,False,Read and write your organization's external identities policy,0,,,,https://graphpermissions.merill.net/permission/Policy.ReadWrite.ExternalIdentities.html
Policy.ReadWrite.FeatureRollout,False,False,Read and write your organization's feature rollout policies,0,,,,https://graphpermissions.merill.net/permission/Policy.ReadWrite.FeatureRollout.html
Policy.ReadWrite.FedTokenValidation,False,False,Read and write your organization's federated token validation policy,0,,,,https://graphpermissions.merill.net/permission/Policy.ReadWrite.FedTokenValidation.html
Policy.ReadWrite.IdentityProtection,False,False,"Read and write your organization’s identity protection policy ",0,,,,https://graphpermissions.merill.net/permission/Policy.ReadWrite.IdentityProtection.html
Policy.ReadWrite.PermissionGrant,False,False,Manage consent and permission grant policies,0,,,,https://graphpermissions.merill.net/permission/Policy.ReadWrite.PermissionGrant.html
Policy.ReadWrite.SecurityDefaults,False,False,Read and write your organization's security defaults policy,1,,,identitysecuritydefaultsenforcementpolicy-update|identitysecuritydefaultsenforcementpolicy-update|id,https://graphpermissions.merill.net/permission/Policy.ReadWrite.SecurityDefaults.html
Policy.ReadWrite.TrustFramework,False,False,Read and write your organization's trust framework policies,0,,,,https://graphpermissions.merill.net/permission/Policy.ReadWrite.TrustFramework.html
Presence.ReadWrite.All,False,False,Read and write presence information for all users,0,,,,https://graphpermissions.merill.net/permission/Presence.ReadWrite.All.html
Printer.Read.All,False,False,Read printers,2,,,printer-get|printer-get|printer-get|printer-get|printer-get|printer-get|printer-get|printer-get|,https://graphpermissions.merill.net/permission/Printer.Read.All.html
Printer.ReadWrite.All,False,False,Read and update printers,2,,,printer-get|printer-get|printer-get|printer-get|printer-get|printer-get|printer-get|printer-get|,https://graphpermissions.merill.net/permission/Printer.ReadWrite.All.html
PrintJob.Manage.All,False,False,Perform advanced operations on print jobs,0,,,,https://graphpermissions.merill.net/permission/PrintJob.Manage.All.html
PrintJob.Read.All,False,False,Read print jobs,0,,,,https://graphpermissions.merill.net/permission/PrintJob.Read.All.html
PrintJob.ReadBasic.All,False,False,Read basic information of print jobs,0,,,,https://graphpermissions.merill.net/permission/PrintJob.ReadBasic.All.html
PrintJob.ReadWrite.All,False,False,Read and write print jobs,0,,,,https://graphpermissions.merill.net/permission/PrintJob.ReadWrite.All.html
PrintJob.ReadWriteBasic.All,False,False,Read and write basic information of print jobs,0,,,,https://graphpermissions.merill.net/permission/PrintJob.ReadWriteBasic.All.html
PrintSettings.Read.All,False,False,Read tenant-wide print settings,0,,,,https://graphpermissions.merill.net/permission/PrintSettings.Read.All.html
PrintTaskDefinition.ReadWrite.All,False,False,"Read, write and update print task definitions",0,,,,https://graphpermissions.merill.net/permission/PrintTaskDefinition.ReadWrite.All.html
PrivilegedAccess.Read.AzureAD,False,False,Read privileged access to Azure AD,0,,,,https://graphpermissions.merill.net/permission/PrivilegedAccess.Read.AzureAD.html
PrivilegedAccess.Read.AzureADGroup,False,False,Read privileged access to Azure AD groups,0,,,,https://graphpermissions.merill.net/permission/PrivilegedAccess.Read.AzureADGroup.html
PrivilegedAccess.Read.AzureResources,False,False,Read privileged access to Azure resources,0,,,,https://graphpermissions.merill.net/permission/PrivilegedAccess.Read.AzureResources.html
PrivilegedAccess.ReadWrite.AzureAD,False,False,Read and write privileged access to Azure AD,0,,,,https://graphpermissions.merill.net/permission/PrivilegedAccess.ReadWrite.AzureAD.html
PrivilegedAccess.ReadWrite.AzureADGroup,False,False,Read and write privileged access to Azure AD groups,0,,,,https://graphpermissions.merill.net/permission/PrivilegedAccess.ReadWrite.AzureADGroup.html
PrivilegedAccess.ReadWrite.AzureResources,False,False,Read and write privileged access to Azure resources,0,,,,https://graphpermissions.merill.net/permission/PrivilegedAccess.ReadWrite.AzureResources.html
PrivilegedAssignmentSchedule.Read.AzureADGroup,False,False,Read assignment schedules for access to Azure AD groups,5,,,approval-filterbycurrentuser|approval-get|approval-list-stages|approvalstage-get|approval-filterbycu,https://graphpermissions.merill.net/permission/PrivilegedAssignmentSchedule.Read.AzureADGroup.html
PrivilegedAssignmentSchedule.ReadWrite.AzureADGroup,False,False,"Read, create, and delete assignment schedules for access to Azure AD groups",6,,,approval-filterbycurrentuser|approval-get|approval-list-stages|approvalstage-get|approvalstage-updat,https://graphpermissions.merill.net/permission/PrivilegedAssignmentSchedule.ReadWrite.AzureADGroup.html
PrivilegedEligibilitySchedule.Read.AzureADGroup,False,False,Read eligibility schedules for access to Azure AD groups,0,,,,https://graphpermissions.merill.net/permission/PrivilegedEligibilitySchedule.Read.AzureADGroup.html
PrivilegedEligibilitySchedule.ReadWrite.AzureADGroup,False,False,"Read, create, and delete eligibility schedules for access to Azure AD groups",0,,,,https://graphpermissions.merill.net/permission/PrivilegedEligibilitySchedule.ReadWrite.AzureADGroup.html
